Date,Document ID
08/08/2018,BBLS DD XS3OS8F0000N
08/07/2018,BBLS DD X7J4QK1G000N
08/06/2018,BBLS DD X1SS14FN0000N
08/06/2018,BBLS DD X10OHD860000N
08/01/2018,BBLS DD XU8BJ2B0000N
07/08/2018,BBLS DD X1UD0OMC0000N
07/02/2018,BBLS DD X1L2MBOSG000N
06/27/2018,BBLS DD X1SVEV5G0000N
06/25/2018,BBLS DD X1F11PGNG000N
06/24/2018,BBLS DD X1BEGLJQ0000N
06/20/2018,BBLS DD X1SU3SA10000N
06/18/2018,BBLS DD XNFH1N8G000N
06/14/2018,BBLS DD X1QEP06I0000N
06/13/2018,BBLS DD XQKA2HQG000N
06/06/2018,BBLS DD X1OJ35VJG000N
06/04/2018,BBLS DD X1FGTVTG0000N
05/29/2018,BBLS DD XCJT5V00000N
04/30/2018,BBLS DD XV7F6690000N
04/22/2018,BBLS DD XRURD53G000N
04/16/2018,BBLS DD XUEKUE9G000N
04/16/2018,BBLS DD X1R322AU0000N
04/15/2018,BBLS DD X9LV6H2G000N
04/10/2018,BBLS DD XMOCQHT0000N
04/03/2018,BBLS DD X75EUQE0000N
03/26/2018,BBLS DD X14VUOLG000N
03/21/2018,BBLS DD X1MOQP5BG000N
03/15/2018,BBLS DD XVHT7QDG000N
03/11/2018,BBLS DD X1J205VIG000N
03/05/2018,BBLS DD X1V2SSNN0000N
02/27/2018,BBLS DD X1L4DNLVG000N
02/26/2018,BBLS DD X1AQ6L0CG000N
02/25/2018,BBLS DD X1SV4DS6G000N
02/08/2018,BBLS DD X1JDVA8MG000N
12/20/2017,BBLS DD X14ROT8Q0000N
12/20/2017,BBLS DD X492BBS0000N
12/19/2017,BBLS DD XPGC5J70000N
12/13/2017,BBLS DD X6217210000N
12/10/2017,BBLS DD X148C46H0000N
11/28/2017,BBLS DD XG76QMPG000N
11/27/2017,BBLS DD XPKO1V2G000N
10/17/2017,BBLS DD X11RS4Q70000N
10/10/2017,BBLS DD X1OK8S9A0000N
09/25/2017,BBLS DD X1D5IG790000N
09/10/2017,BBLS DD XQJP0NTG000N
08/23/2017,BBLS DD XTQKKD00000N
08/21/2017,BBLS DD X160FOO80000N
08/20/2017,BBLS DD X1VS6IK1G000N
08/17/2017,BBLS DD XHC2SL8G000N
07/17/2017,BBLS DD X3A3F3OG000N
07/06/2017,BBLS DD X18LFFJUG000N
05/30/2017,BBLS DD XJBLG07G000N
05/23/2017,BBLS DD XAPAUBC0000N
05/14/2017,BBLS DD X97BUR30000N
05/10/2017,BBLS DD XH7CE32G000N
04/19/2017,BBLS DD X3AEDF60000N
03/29/2017,BBLS DD XJTROLN0000N
02/21/2017,BBLS DD X17KQP8UG000N
01/23/2017,BBLS DD X8PCAHO0000N
01/11/2017,BBLS DD X9IDGDGG000N
12/15/2016,BBLS DD X46C4AOG000N
11/30/2016,BBLS DD X9SUR77G000N
11/29/2016,BBLS DD XJBO8MN0000N
11/06/2016,BBLS DD XC5NI980000N
09/21/2016,BBLS DD X15SC62S0000N
09/18/2016,BBLS DD XA83NHU0000N
09/18/2016,BBLS DD XECAT9N0000N
09/18/2016,BBLS DD X13FH5CC0000N
09/05/2016,BBLS DD XOHRL140000N
08/25/2016,BBLS DD X1LF0GJUG000N
08/10/2016,BBLS DD X12BF06GG000N
07/21/2016,BBLS DD XC8BIOBG000N
07/07/2016,BBLS DD X16ABCKHG000N
06/26/2016,BBLS DD X19QQJS30000N
06/19/2016,BBLS DD X1CECV51G000N
05/30/2016,BBLS DD XP78DT00000N
05/18/2016,BBLS DD XGA1NKC0000N
05/02/2016,BBLS DD XTA9HVF0000N
04/19/2016,BBLS DD XH62V9N0000N
03/16/2016,BBLS DD XFSDA8AG000N
03/13/2016,BBLS DD X1QN7QMR0000N
02/21/2016,BBLS DD X1SN1M6FG000N
02/07/2016,BBLS DD X1UKKM2KG000N
12/21/2015,BBLS DD X5H7JPKG000N
11/29/2015,BBLS DD X1JCAR5GG000N
09/22/2015,BBLS DD X1TFI1RM0000N
08/27/2015,BBLS DD X1QMSB47G000N
08/25/2015,BBLS DD X5HIF2OG000N
08/24/2015,BBLS DD X66JOC4G000N
