date,Bitcoin_unscaled,Bitcoin_monthly,isPartial,scale,Bitcoin
2020-10-13,51,10.0,,0.1,5.1000000000000005
2020-10-14,48,10.0,,0.1,4.800000000000001
2020-10-15,50,10.0,,0.1,5.0
2020-10-16,48,10.0,,0.1,4.800000000000001
2020-10-17,46,10.0,,0.1,4.6000000000000005
2020-10-18,45,10.0,,0.1,4.5
2020-10-19,56,10.0,,0.1,5.6000000000000005
2020-10-20,62,10.0,,0.1,6.2
2020-10-21,98,10.0,,0.1,9.8
2020-10-22,100,10.0,,0.1,10.0
2020-10-23,71,10.0,,0.1,7.1000000000000005
2020-10-24,72,10.0,,0.1,7.2
2020-10-25,68,10.0,,0.1,6.800000000000001
2020-10-26,72,10.0,,0.1,7.2
2020-10-27,85,10.0,,0.1,8.5
2020-10-28,85,10.0,,0.1,8.5
2020-10-29,71,10.0,,0.1,7.1000000000000005
2020-10-30,73,10.0,,0.1,7.300000000000001
2020-10-31,65,10.0,,0.1,6.5
2020-11-01,36,17.0,False,0.17,6.12
2020-11-02,36,17.0,,0.17,6.12
2020-11-03,33,17.0,,0.17,5.61
2020-11-04,29,17.0,,0.17,4.930000000000001
2020-11-05,47,17.0,,0.17,7.99
2020-11-06,56,17.0,,0.17,9.520000000000001
2020-11-07,45,17.0,,0.17,7.65
2020-11-08,43,17.0,,0.17,7.3100000000000005
2020-11-09,43,17.0,,0.17,7.3100000000000005
2020-11-10,40,17.0,,0.17,6.800000000000001
2020-11-11,46,17.0,,0.17,7.82
2020-11-12,46,17.0,,0.17,7.82
2020-11-13,53,17.0,,0.17,9.01
2020-11-14,43,17.0,,0.17,7.3100000000000005
2020-11-15,37,17.0,,0.17,6.29
2020-11-16,53,17.0,,0.17,9.01
2020-11-17,79,17.0,,0.17,13.430000000000001
2020-11-18,98,17.0,,0.17,16.66
2020-11-19,75,17.0,,0.17,12.750000000000002
2020-11-20,81,17.0,,0.17,13.770000000000001
2020-11-21,77,17.0,,0.17,13.090000000000002
2020-11-22,59,17.0,,0.17,10.030000000000001
2020-11-23,67,17.0,,0.17,11.39
2020-11-24,92,17.0,,0.17,15.64
2020-11-25,81,17.0,,0.17,13.770000000000001
2020-11-26,100,17.0,,0.17,17.0
2020-11-27,75,17.0,,0.17,12.750000000000002
2020-11-28,59,17.0,,0.17,10.030000000000001
2020-11-29,58,17.0,,0.17,9.860000000000001
2020-11-30,85,17.0,,0.17,14.450000000000001
2020-12-01,51,26.0,False,0.26,13.26
2020-12-02,37,26.0,,0.26,9.620000000000001
2020-12-03,38,26.0,,0.26,9.88
2020-12-04,36,26.0,,0.26,9.36
2020-12-05,32,26.0,,0.26,8.32
2020-12-06,31,26.0,,0.26,8.06
2020-12-07,34,26.0,,0.26,8.84
2020-12-08,34,26.0,,0.26,8.84
2020-12-09,34,26.0,,0.26,8.84
2020-12-10,29,26.0,,0.26,7.54
2020-12-11,30,26.0,,0.26,7.800000000000001
2020-12-12,22,26.0,,0.26,5.720000000000001
2020-12-13,27,26.0,,0.26,7.0200000000000005
2020-12-14,27,26.0,,0.26,7.0200000000000005
2020-12-15,28,26.0,,0.26,7.28
2020-12-16,61,26.0,,0.26,15.860000000000001
2020-12-17,100,26.0,,0.26,26.0
2020-12-18,66,26.0,,0.26,17.16
2020-12-19,54,26.0,,0.26,14.040000000000001
2020-12-20,51,26.0,,0.26,13.26
2020-12-21,52,26.0,,0.26,13.52
2020-12-22,48,26.0,,0.26,12.48
2020-12-23,45,26.0,,0.26,11.700000000000001
2020-12-24,41,26.0,,0.26,10.66
2020-12-25,42,26.0,,0.26,10.92
2020-12-26,63,26.0,,0.26,16.38
2020-12-27,84,26.0,,0.26,21.84
2020-12-28,71,26.0,,0.26,18.46
2020-12-29,59,26.0,,0.26,15.34
2020-12-30,71,26.0,,0.26,18.46
2020-12-31,73,26.0,,0.26,18.98
2021-01-01,33,50.0,False,0.5,16.5
2021-01-02,64,50.0,,0.5,32.0
2021-01-03,75,50.0,,0.5,37.5
2021-01-04,61,50.0,,0.5,30.5
2021-01-05,53,50.0,,0.5,26.5
2021-01-06,57,50.0,,0.5,28.5
2021-01-07,83,50.0,,0.5,41.5
2021-01-08,86,50.0,,0.5,43.0
2021-01-09,66,50.0,,0.5,33.0
2021-01-10,64,50.0,,0.5,32.0
2021-01-11,100,50.0,,0.5,50.0
2021-01-12,74,50.0,,0.5,37.0
