date,bitcoin buy_unscaled,bitcoin buy_monthly,isPartial,scale,bitcoin buy
2019-03-24,25,5.0,,0.05,1.25
2019-03-25,15,5.0,,0.05,0.75
2019-03-26,54,5.0,,0.05,2.7
2019-03-27,39,5.0,,0.05,1.9500000000000002
2019-03-28,53,5.0,,0.05,2.6500000000000004
2019-03-29,100,5.0,,0.05,5.0
2019-03-30,27,5.0,,0.05,1.35
2019-03-31,53,5.0,,0.05,2.6500000000000004
2019-04-01,16,5.0,False,0.05,0.8
2019-04-02,90,5.0,,0.05,4.5
2019-04-03,66,5.0,,0.05,3.3000000000000003
2019-04-04,82,5.0,,0.05,4.1000000000000005
2019-04-05,25,5.0,,0.05,1.25
2019-04-06,60,5.0,,0.05,3.0
2019-04-07,40,5.0,,0.05,2.0
2019-04-08,49,5.0,,0.05,2.45
2019-04-09,16,5.0,,0.05,0.8
2019-04-10,57,5.0,,0.05,2.85
2019-04-11,49,5.0,,0.05,2.45
2019-04-12,42,5.0,,0.05,2.1
2019-04-13,71,5.0,,0.05,3.5500000000000003
2019-04-14,39,5.0,,0.05,1.9500000000000002
2019-04-15,49,5.0,,0.05,2.45
2019-04-16,100,5.0,,0.05,5.0
2019-04-17,51,5.0,,0.05,2.5500000000000003
2019-04-18,25,5.0,,0.05,1.25
2019-04-19,62,5.0,,0.05,3.1
2019-04-20,71,5.0,,0.05,3.5500000000000003
2019-04-21,53,5.0,,0.05,2.6500000000000004
2019-04-22,26,5.0,,0.05,1.3
2019-04-23,59,5.0,,0.05,2.95
2019-04-24,83,5.0,,0.05,4.15
2019-04-25,49,5.0,,0.05,2.45
2019-04-26,33,5.0,,0.05,1.6500000000000001
2019-04-27,20,5.0,,0.05,1.0
2019-04-28,40,5.0,,0.05,2.0
2019-04-29,57,5.0,,0.05,2.85
2019-04-30,40,5.0,,0.05,2.0
2019-05-01,19,7.0,False,0.07,1.33
2019-05-02,29,7.0,,0.07,2.0300000000000002
2019-05-03,35,7.0,,0.07,2.45
2019-05-04,35,7.0,,0.07,2.45
2019-05-05,41,7.0,,0.07,2.87
2019-05-06,49,7.0,,0.07,3.43
2019-05-07,58,7.0,,0.07,4.0600000000000005
2019-05-08,34,7.0,,0.07,2.3800000000000003
2019-05-09,49,7.0,,0.07,3.43
2019-05-10,55,7.0,,0.07,3.8500000000000005
2019-05-11,18,7.0,,0.07,1.2600000000000002
2019-05-12,18,7.0,,0.07,1.2600000000000002
2019-05-13,45,7.0,,0.07,3.1500000000000004
2019-05-14,100,7.0,,0.07,7.000000000000001
2019-05-15,45,7.0,,0.07,3.1500000000000004
2019-05-16,65,7.0,,0.07,4.550000000000001
2019-05-17,36,7.0,,0.07,2.5200000000000005
2019-05-18,56,7.0,,0.07,3.9200000000000004
2019-05-19,48,7.0,,0.07,3.3600000000000003
2019-05-20,65,7.0,,0.07,4.550000000000001
2019-05-21,79,7.0,,0.07,5.53
2019-05-22,35,7.0,,0.07,2.45
2019-05-23,25,7.0,,0.07,1.7500000000000002
2019-05-24,79,7.0,,0.07,5.53
2019-05-25,56,7.0,,0.07,3.9200000000000004
2019-05-26,32,7.0,,0.07,2.24
2019-05-27,89,7.0,,0.07,6.23
2019-05-28,45,7.0,,0.07,3.1500000000000004
2019-05-29,49,7.0,,0.07,3.43
2019-05-30,69,7.0,,0.07,4.83
2019-05-31,31,7.0,,0.07,2.1700000000000004
2019-06-01,52,9.0,False,0.09,4.68
2019-06-02,47,9.0,,0.09,4.2299999999999995
2019-06-03,30,9.0,,0.09,2.6999999999999997
2019-06-04,34,9.0,,0.09,3.06
2019-06-05,40,9.0,,0.09,3.5999999999999996
2019-06-06,20,9.0,,0.09,1.7999999999999998
2019-06-07,49,9.0,,0.09,4.41
2019-06-08,16,9.0,,0.09,1.44
2019-06-09,36,9.0,,0.09,3.2399999999999998
2019-06-10,24,9.0,,0.09,2.16
2019-06-11,14,9.0,,0.09,1.26
2019-06-12,7,9.0,,0.09,0.63
2019-06-13,24,9.0,,0.09,2.16
2019-06-14,28,9.0,,0.09,2.52
2019-06-15,16,9.0,,0.09,1.44
2019-06-16,60,9.0,,0.09,5.3999999999999995
2019-06-17,41,9.0,,0.09,3.69
2019-06-18,34,9.0,,0.09,3.06
2019-06-19,34,9.0,,0.09,3.06
2019-06-20,35,9.0,,0.09,3.15
2019-06-21,46,9.0,,0.09,4.14
2019-06-22,62,9.0,,0.09,5.58
2019-06-23,33,9.0,,0.09,2.9699999999999998
2019-06-24,45,9.0,,0.09,4.05
2019-06-25,77,9.0,,0.09,6.93
2019-06-26,100,9.0,,0.09,9.0
2019-06-27,58,9.0,,0.09,5.22
2019-06-28,44,9.0,,0.09,3.96
2019-06-29,41,9.0,,0.09,3.69
2019-06-30,41,9.0,,0.09,3.69
2019-07-01,65,7.0,False,0.07,4.550000000000001
2019-07-02,70,7.0,,0.07,4.9
2019-07-03,64,7.0,,0.07,4.48
2019-07-04,20,7.0,,0.07,1.4000000000000001
2019-07-05,33,7.0,,0.07,2.31
2019-07-06,59,7.0,,0.07,4.130000000000001
2019-07-07,58,7.0,,0.07,4.0600000000000005
2019-07-08,23,7.0,,0.07,1.61
2019-07-09,46,7.0,,0.07,3.22
2019-07-10,63,7.0,,0.07,4.41
2019-07-11,80,7.0,,0.07,5.6000000000000005
2019-07-12,89,7.0,,0.07,6.23
2019-07-13,88,7.0,,0.07,6.16
2019-07-14,75,7.0,,0.07,5.250000000000001
2019-07-15,46,7.0,,0.07,3.22
2019-07-16,67,7.0,,0.07,4.69
2019-07-17,63,7.0,,0.07,4.41
2019-07-18,47,7.0,,0.07,3.2900000000000005
2019-07-19,48,7.0,,0.07,3.3600000000000003
2019-07-20,80,7.0,,0.07,5.6000000000000005
2019-07-21,81,7.0,,0.07,5.670000000000001
2019-07-22,100,7.0,,0.07,7.000000000000001
2019-07-23,57,7.0,,0.07,3.99
2019-07-24,36,7.0,,0.07,2.5200000000000005
2019-07-25,42,7.0,,0.07,2.9400000000000004
2019-07-26,31,7.0,,0.07,2.1700000000000004
2019-07-27,83,7.0,,0.07,5.8100000000000005
2019-07-28,27,7.0,,0.07,1.8900000000000001
2019-07-29,36,7.0,,0.07,2.5200000000000005
2019-07-30,47,7.0,,0.07,3.2900000000000005
2019-07-31,12,7.0,,0.07,0.8400000000000001
2019-08-01,40,7.0,False,0.07,2.8000000000000003
2019-08-02,68,7.0,,0.07,4.760000000000001
2019-08-03,69,7.0,,0.07,4.83
2019-08-04,85,7.0,,0.07,5.95
2019-08-05,93,7.0,,0.07,6.510000000000001
2019-08-06,59,7.0,,0.07,4.130000000000001
2019-08-07,60,7.0,,0.07,4.2
2019-08-08,33,7.0,,0.07,2.31
2019-08-09,53,7.0,,0.07,3.7100000000000004
2019-08-10,46,7.0,,0.07,3.22
2019-08-11,54,7.0,,0.07,3.7800000000000002
2019-08-12,72,7.0,,0.07,5.040000000000001
2019-08-13,84,7.0,,0.07,5.880000000000001
2019-08-14,63,7.0,,0.07,4.41
2019-08-15,65,7.0,,0.07,4.550000000000001
2019-08-16,65,7.0,,0.07,4.550000000000001
2019-08-17,23,7.0,,0.07,1.61
2019-08-18,37,7.0,,0.07,2.5900000000000003
2019-08-19,100,7.0,,0.07,7.000000000000001
2019-08-20,44,7.0,,0.07,3.08
2019-08-21,38,7.0,,0.07,2.66
2019-08-22,51,7.0,,0.07,3.5700000000000003
2019-08-23,57,7.0,,0.07,3.99
2019-08-24,30,7.0,,0.07,2.1
2019-08-25,37,7.0,,0.07,2.5900000000000003
2019-08-26,55,7.0,,0.07,3.8500000000000005
2019-08-27,56,7.0,,0.07,3.9200000000000004
2019-08-28,37,7.0,,0.07,2.5900000000000003
2019-08-29,94,7.0,,0.07,6.580000000000001
2019-08-30,67,7.0,,0.07,4.69
2019-08-31,28,7.0,,0.07,1.9600000000000002
2019-09-01,47,6.0,False,0.06,2.82
2019-09-02,72,6.0,,0.06,4.32
2019-09-03,71,6.0,,0.06,4.26
2019-09-04,64,6.0,,0.06,3.84
2019-09-05,39,6.0,,0.06,2.34
2019-09-06,26,6.0,,0.06,1.56
2019-09-07,53,6.0,,0.06,3.1799999999999997
2019-09-08,68,6.0,,0.06,4.08
2019-09-09,19,6.0,,0.06,1.14
2019-09-10,52,6.0,,0.06,3.12
2019-09-11,46,6.0,,0.06,2.76
2019-09-12,58,6.0,,0.06,3.48
2019-09-13,59,6.0,,0.06,3.54
2019-09-14,40,6.0,,0.06,2.4
2019-09-15,60,6.0,,0.06,3.5999999999999996
2019-09-16,71,6.0,,0.06,4.26
2019-09-17,44,6.0,,0.06,2.6399999999999997
2019-09-18,52,6.0,,0.06,3.12
2019-09-19,59,6.0,,0.06,3.54
2019-09-20,26,6.0,,0.06,1.56
2019-09-21,100,6.0,,0.06,6.0
2019-09-22,45,6.0,,0.06,2.6999999999999997
2019-09-23,50,6.0,,0.06,3.0
2019-09-24,32,6.0,,0.06,1.92
2019-09-25,84,6.0,,0.06,5.04
2019-09-26,40,6.0,,0.06,2.4
2019-09-27,40,6.0,,0.06,2.4
2019-09-28,64,6.0,,0.06,3.84
2019-09-29,63,6.0,,0.06,3.78
2019-09-30,40,6.0,,0.06,2.4
2019-10-01,55,6.0,False,0.06,3.3
2019-10-02,96,6.0,,0.06,5.76
2019-10-03,83,6.0,,0.06,4.9799999999999995
2019-10-04,79,6.0,,0.06,4.74
2019-10-05,100,6.0,,0.06,6.0
2019-10-06,24,6.0,,0.06,1.44
2019-10-07,76,6.0,,0.06,4.56
2019-10-08,69,6.0,,0.06,4.14
2019-10-09,56,6.0,,0.06,3.36
2019-10-10,28,6.0,,0.06,1.68
2019-10-11,35,6.0,,0.06,2.1
2019-10-12,51,6.0,,0.06,3.06
2019-10-13,82,6.0,,0.06,4.92
2019-10-14,21,6.0,,0.06,1.26
2019-10-15,28,6.0,,0.06,1.68
2019-10-16,35,6.0,,0.06,2.1
2019-10-17,63,6.0,,0.06,3.78
2019-10-18,57,6.0,,0.06,3.42
2019-10-19,83,6.0,,0.06,4.9799999999999995
2019-10-20,24,6.0,,0.06,1.44
2019-10-21,34,6.0,,0.06,2.04
2019-10-22,53,6.0,,0.06,3.1799999999999997
2019-10-23,41,6.0,,0.06,2.46
2019-10-24,41,6.0,,0.06,2.46
2019-10-25,57,6.0,,0.06,3.42
2019-10-26,74,6.0,,0.06,4.4399999999999995
2019-10-27,49,6.0,,0.06,2.94
2019-10-28,60,6.0,,0.06,3.5999999999999996
2019-10-29,20,6.0,,0.06,1.2
2019-10-30,27,6.0,,0.06,1.6199999999999999
2019-10-31,76,6.0,,0.06,4.56
2019-11-01,73,6.0,False,0.06,4.38
2019-11-02,69,6.0,,0.06,4.14
2019-11-03,51,6.0,,0.06,3.06
2019-11-04,57,6.0,,0.06,3.42
2019-11-05,100,6.0,,0.06,6.0
2019-11-06,49,6.0,,0.06,2.94
2019-11-07,13,6.0,,0.06,0.78
2019-11-08,38,6.0,,0.06,2.28
2019-11-09,37,6.0,,0.06,2.2199999999999998
2019-11-10,65,6.0,,0.06,3.9
2019-11-11,38,6.0,,0.06,2.28
2019-11-12,48,6.0,,0.06,2.88
2019-11-13,49,6.0,,0.06,2.94
2019-11-14,36,6.0,,0.06,2.16
2019-11-15,31,6.0,,0.06,1.8599999999999999
2019-11-16,44,6.0,,0.06,2.6399999999999997
2019-11-17,36,6.0,,0.06,2.16
2019-11-18,55,6.0,,0.06,3.3
2019-11-19,56,6.0,,0.06,3.36
2019-11-20,19,6.0,,0.06,1.14
2019-11-21,69,6.0,,0.06,4.14
2019-11-22,51,6.0,,0.06,3.06
2019-11-23,43,6.0,,0.06,2.58
2019-11-24,58,6.0,,0.06,3.48
2019-11-25,88,6.0,,0.06,5.279999999999999
2019-11-26,65,6.0,,0.06,3.9
2019-11-27,47,6.0,,0.06,2.82
2019-11-28,36,6.0,,0.06,2.16
2019-11-29,34,6.0,,0.06,2.04
2019-11-30,77,6.0,,0.06,4.62
2019-12-01,52,5.0,False,0.05,2.6
2019-12-02,33,5.0,,0.05,1.6500000000000001
2019-12-03,17,5.0,,0.05,0.8500000000000001
2019-12-04,70,5.0,,0.05,3.5
2019-12-05,29,5.0,,0.05,1.4500000000000002
2019-12-06,29,5.0,,0.05,1.4500000000000002
2019-12-07,14,5.0,,0.05,0.7000000000000001
2019-12-08,27,5.0,,0.05,1.35
2019-12-09,46,5.0,,0.05,2.3000000000000003
2019-12-10,65,5.0,,0.05,3.25
2019-12-11,64,5.0,,0.05,3.2
2019-12-12,35,5.0,,0.05,1.75
2019-12-13,41,5.0,,0.05,2.0500000000000003
2019-12-14,41,5.0,,0.05,2.0500000000000003
2019-12-15,55,5.0,,0.05,2.75
2019-12-16,41,5.0,,0.05,2.0500000000000003
2019-12-17,35,5.0,,0.05,1.75
2019-12-18,30,5.0,,0.05,1.5
2019-12-19,54,5.0,,0.05,2.7
2019-12-20,32,5.0,,0.05,1.6
2019-12-21,86,5.0,,0.05,4.3
2019-12-22,58,5.0,,0.05,2.9000000000000004
2019-12-23,26,5.0,,0.05,1.3
2019-12-24,83,5.0,,0.05,4.15
2019-12-25,39,5.0,,0.05,1.9500000000000002
2019-12-26,68,5.0,,0.05,3.4000000000000004
2019-12-27,38,5.0,,0.05,1.9000000000000001
2019-12-28,49,5.0,,0.05,2.45
2019-12-29,100,5.0,,0.05,5.0
2019-12-30,38,5.0,,0.05,1.9000000000000001
2019-12-31,66,5.0,,0.05,3.3000000000000003
2020-01-01,37,7.0,False,0.07,2.5900000000000003
2020-01-02,42,7.0,,0.07,2.9400000000000004
2020-01-03,46,7.0,,0.07,3.22
2020-01-04,80,7.0,,0.07,5.6000000000000005
2020-01-05,34,7.0,,0.07,2.3800000000000003
2020-01-06,30,7.0,,0.07,2.1
2020-01-07,61,7.0,,0.07,4.2700000000000005
2020-01-08,50,7.0,,0.07,3.5000000000000004
2020-01-09,25,7.0,,0.07,1.7500000000000002
2020-01-10,75,7.0,,0.07,5.250000000000001
2020-01-11,23,7.0,,0.07,1.61
2020-01-12,50,7.0,,0.07,3.5000000000000004
2020-01-13,32,7.0,,0.07,2.24
2020-01-14,30,7.0,,0.07,2.1
2020-01-15,100,7.0,,0.07,7.000000000000001
2020-01-16,68,7.0,,0.07,4.760000000000001
2020-01-17,50,7.0,,0.07,3.5000000000000004
2020-01-18,56,7.0,,0.07,3.9200000000000004
2020-01-19,22,7.0,,0.07,1.54
2020-01-20,51,7.0,,0.07,3.5700000000000003
2020-01-21,20,7.0,,0.07,1.4000000000000001
2020-01-22,39,7.0,,0.07,2.7300000000000004
2020-01-23,69,7.0,,0.07,4.83
2020-01-24,39,7.0,,0.07,2.7300000000000004
2020-01-25,57,7.0,,0.07,3.99
2020-01-26,32,7.0,,0.07,2.24
2020-01-27,32,7.0,,0.07,2.24
2020-01-28,54,7.0,,0.07,3.7800000000000002
2020-01-29,60,7.0,,0.07,4.2
2020-01-30,45,7.0,,0.07,3.1500000000000004
2020-01-31,30,7.0,,0.07,2.1
2020-02-01,50,8.0,False,0.08,4.0
2020-02-02,62,8.0,,0.08,4.96
2020-02-03,63,8.0,,0.08,5.04
2020-02-04,74,8.0,,0.08,5.92
2020-02-05,37,8.0,,0.08,2.96
2020-02-06,100,8.0,,0.08,8.0
2020-02-07,38,8.0,,0.08,3.04
2020-02-08,49,8.0,,0.08,3.92
2020-02-09,94,8.0,,0.08,7.5200000000000005
2020-02-10,57,8.0,,0.08,4.5600000000000005
2020-02-11,21,8.0,,0.08,1.68
2020-02-12,68,8.0,,0.08,5.44
2020-02-13,42,8.0,,0.08,3.36
2020-02-14,33,8.0,,0.08,2.64
2020-02-15,63,8.0,,0.08,5.04
2020-02-16,31,8.0,,0.08,2.48
2020-02-17,55,8.0,,0.08,4.4
2020-02-18,51,8.0,,0.08,4.08
2020-02-19,56,8.0,,0.08,4.48
2020-02-20,62,8.0,,0.08,4.96
2020-02-21,42,8.0,,0.08,3.36
2020-02-22,60,8.0,,0.08,4.8
2020-02-23,49,8.0,,0.08,3.92
2020-02-24,71,8.0,,0.08,5.68
2020-02-25,40,8.0,,0.08,3.2
2020-02-26,20,8.0,,0.08,1.6
2020-02-27,51,8.0,,0.08,4.08
2020-02-28,68,8.0,,0.08,5.44
2020-02-29,71,8.0,,0.08,5.68
2020-03-01,16,9.0,False,0.09,1.44
2020-03-02,24,9.0,,0.09,2.16
2020-03-03,37,9.0,,0.09,3.33
2020-03-04,35,9.0,,0.09,3.15
2020-03-05,41,9.0,,0.09,3.69
2020-03-06,39,9.0,,0.09,3.51
2020-03-07,23,9.0,,0.09,2.07
2020-03-08,19,9.0,,0.09,1.71
2020-03-09,48,9.0,,0.09,4.32
2020-03-10,24,9.0,,0.09,2.16
2020-03-11,27,9.0,,0.09,2.4299999999999997
2020-03-12,52,9.0,,0.09,4.68
2020-03-13,100,9.0,,0.09,9.0
2020-03-14,42,9.0,,0.09,3.78
2020-03-15,47,9.0,,0.09,4.2299999999999995
2020-03-16,48,9.0,,0.09,4.32
2020-03-17,53,9.0,,0.09,4.77
2020-03-18,53,9.0,,0.09,4.77
2020-03-19,35,9.0,,0.09,3.15
2020-03-20,50,9.0,,0.09,4.5
2020-03-21,42,9.0,,0.09,3.78
2020-03-22,70,9.0,,0.09,6.3
2020-03-23,42,9.0,,0.09,3.78
2020-03-24,51,9.0,,0.09,4.59
2020-03-25,54,9.0,,0.09,4.859999999999999
2020-03-26,54,9.0,,0.09,4.859999999999999
2020-03-27,56,9.0,,0.09,5.04
2020-03-28,33,9.0,,0.09,2.9699999999999998
2020-03-29,41,9.0,,0.09,3.69
2020-03-30,41,9.0,,0.09,3.69
2020-03-31,33,9.0,,0.09,2.9699999999999998
2020-04-01,43,10.0,False,0.1,4.3
2020-04-02,43,10.0,,0.1,4.3
2020-04-03,64,10.0,,0.1,6.4
2020-04-04,100,10.0,,0.1,10.0
2020-04-05,35,10.0,,0.1,3.5
2020-04-06,40,10.0,,0.1,4.0
2020-04-07,57,10.0,,0.1,5.7
2020-04-08,71,10.0,,0.1,7.1000000000000005
2020-04-09,47,10.0,,0.1,4.7
2020-04-10,42,10.0,,0.1,4.2
2020-04-11,39,10.0,,0.1,3.9000000000000004
2020-04-12,62,10.0,,0.1,6.2
2020-04-13,47,10.0,,0.1,4.7
2020-04-14,43,10.0,,0.1,4.3
2020-04-15,70,10.0,,0.1,7.0
2020-04-16,90,10.0,,0.1,9.0
