date,bitcoin sell_unscaled,bitcoin sell_monthly,isPartial,scale,bitcoin sell
2014-07-29,97,3.0,,0.03,2.9099999999999997
2014-07-30,0,3.0,,0.03,0.0
2014-07-31,0,3.0,,0.03,0.0
2014-08-01,0,2.0,False,0.02,0.0
2014-08-02,0,2.0,,0.02,0.0
2014-08-03,0,2.0,,0.02,0.0
2014-08-04,0,2.0,,0.02,0.0
2014-08-05,51,2.0,,0.02,1.02
2014-08-06,0,2.0,,0.02,0.0
2014-08-07,0,2.0,,0.02,0.0
2014-08-08,0,2.0,,0.02,0.0
2014-08-09,65,2.0,,0.02,1.3
2014-08-10,65,2.0,,0.02,1.3
2014-08-11,0,2.0,,0.02,0.0
2014-08-12,49,2.0,,0.02,0.98
2014-08-13,50,2.0,,0.02,1.0
2014-08-14,52,2.0,,0.02,1.04
2014-08-15,0,2.0,,0.02,0.0
2014-08-16,64,2.0,,0.02,1.28
2014-08-17,0,2.0,,0.02,0.0
2014-08-18,0,2.0,,0.02,0.0
2014-08-19,0,2.0,,0.02,0.0
2014-08-20,0,2.0,,0.02,0.0
2014-08-21,0,2.0,,0.02,0.0
2014-08-22,0,2.0,,0.02,0.0
2014-08-23,62,2.0,,0.02,1.24
2014-08-24,0,2.0,,0.02,0.0
2014-08-25,100,2.0,,0.02,2.0
2014-08-26,0,2.0,,0.02,0.0
2014-08-27,0,2.0,,0.02,0.0
2014-08-28,0,2.0,,0.02,0.0
2014-08-29,0,2.0,,0.02,0.0
2014-08-30,0,2.0,,0.02,0.0
2014-08-31,0,2.0,,0.02,0.0
2014-09-01,47,2.0,False,0.02,0.9400000000000001
2014-09-02,0,2.0,,0.02,0.0
2014-09-03,0,2.0,,0.02,0.0
2014-09-04,0,2.0,,0.02,0.0
2014-09-05,0,2.0,,0.02,0.0
2014-09-06,100,2.0,,0.02,2.0
2014-09-07,0,2.0,,0.02,0.0
2014-09-08,0,2.0,,0.02,0.0
2014-09-09,0,2.0,,0.02,0.0
2014-09-10,0,2.0,,0.02,0.0
2014-09-11,0,2.0,,0.02,0.0
2014-09-12,0,2.0,,0.02,0.0
